"id","wing","wing_title","artifact_title","location","description"
"egypt-018","egypt","جناح مصر القديمة","الرامسيوم","الأقصر الغربية","المعبد الجنائزي لرمسيس الثاني. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-019","egypt","جناح مصر القديمة","معبد مدينة هابو","الأقصر الغربية","المعبد الجنائزي لرمسيس الثالث. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-020","egypt","جناح مصر القديمة","وادي الملوك","الأقصر الغربية","مقبرة معظم فراعنة الدولة الحديثة. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-021","egypt","جناح مصر القديمة","وادي الملكات","الأقصر الغربية","مدفن زوجات وأبناء الفراعنة. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-022","egypt","جناح مصر القديمة","تمثالا ممنون","الأقصر الغربية","تمثالان ضخمان لأمنحتب الثالث. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-023","egypt","جناح مصر القديمة","حجر رشيد","رشيد","مفتاح فك رموز الكتابة الهيروغليفية. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
"egypt-024","egypt","جناح مصر القديمة","مسلة الأقصر","ميدان الكونكورد بباريس","إحدى مسلتي معبد الأقصر. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-025","egypt","جناح مصر القديمة","جبانة سقارة","سقارة","أكبر جبانة أثرية على مستوى مصر. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-026","egypt","جناح مصر القديمة","معبد الإله خنوم بإسنا","إسنا","معبد مصري متأخر بسقف نجمي مزخرف. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-027","egypt","جناح مصر القديمة","معبد سيتي الأول بأبيدوس","أبيدوس","معبد جنائزي بسبعة مقاصير مقدسة. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-028","egypt","جناح مصر القديمة","مقابر بني حسن","المنيا","مقابر أمراء إقليميين من الدولة الوسطى. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-029","egypt","جناح مصر القديمة","هرم أوناس","سقارة","أول هرم تُنقش داخله نصوص الأهرام. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
"egypt-030","egypt","جناح مصر القديمة","مقبرة نفرتاري","وادي الملكات","من أجمل المقابر الملونة في مصر القديمة. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-031","egypt","جناح مصر القديمة","تمثال الإلهة إيزيس","برونز","ربة السحر والأمومة في الديانة المصرية. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-032","egypt","جناح مصر القديمة","تمثال الإله أوزوريس","برونز/حجر","إله العالم الآخر والبعث. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-033","egypt","جناح مصر القديمة","تمثال الإله حورس","برونز","الصقر الملكي رمز السماء والملكية. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-034","egypt","جناح مصر القديمة","تمثال الإله أنوبيس","خشب مطلي","حارس المقابر وإله التحنيط. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-035","egypt","جناح مصر القديمة","تمثال الإله تحوت","برونز","إله الحكمة والكتابة برأس أبو منجل. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
"egypt-036","egypt","جناح مصر القديمة","تمثال الإلهة باستت","برونز","إلهة الحماية بهيئة قطة. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-037","egypt","جناح مصر القديمة","تمثال الإلهة سخمت","حجر جرانيت","إلهة الحرب برأس لبؤة. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-038","egypt","جناح مصر القديمة","تمثال الإلهة حتحور","حجر جيري","إلهة الحب والموسيقى والجمال. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-039","egypt","جناح مصر القديمة","تمثال الإله آمون","ذهب وبرونز","كبير آلهة طيبة في الدولة الحديثة. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-040","egypt","جناح مصر القديمة","تمثال الإله بتاح","حجر","إله الحرفيين وراعي منف. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-041","egypt","جناح مصر القديمة","تمثال الإله سوبك","حجر","إله التماسيح المرتبط بالنيل. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
"egypt-042","egypt","جناح مصر القديمة","تمثال رع حور آختي","ذهب","اندماج إله الشمس رع مع حورس. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-043","egypt","جناح مصر القديمة","تمثال الإلهة نوت","حجر","إلهة السماء التي تحتضن الكون. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-044","egypt","جناح مصر القديمة","تمثال الإله جب","إله الأرض في الميثولوجيا المصرية","يُعد جب أحد أهم آلهة تاسوع هليوبوليس، حيث جسّد الأرض والخصوبة. لم تُنحت له تماثيل مستقلة كثيرة، بل خُلّد ذكره غالبًا عبر الرسوم الجدارية والبرديات الجنائزية."
"egypt-045","egypt","جناح مصر القديمة","تمثال الإله خنوم","حجر","إله الخلق الذي شكّل البشر على عجلة الفخار. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-046","egypt","جناح مصر القديمة","تمثال الإلهة موت","حجر","الأم الإلهية وزوجة آمون. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-047","egypt","جناح مصر القديمة","تمثال الإله خونسو","حجر","إله القمر ابن آمون وموت. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-048","egypt","جناح مصر القديمة","تمثال الإله مين","حجر","إله الخصوبة والحصاد. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
"egypt-049","egypt","جناح مصر القديمة","تمثال الإلهة تاورت","فيانس","إلهة حماية الحوامل بهيئة فرس النهر. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-050","egypt","جناح مصر القديمة","تمثال الإله بس","فيانس","إله حماية المنزل والأطفال. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-051","egypt","جناح مصر القديمة","قناع جنائزي ذهبي","ذهب وأحجار كريمة","يوضع على وجه المومياء لحمايتها. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-052","egypt","جناح مصر القديمة","تابوت حجري منقوش","حجر جيري","صندوق دفن ملكي بنقوش دينية. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-053","egypt","جناح مصر القديمة","إناء كانوبي","حجر ألباستر","لحفظ أحشاء المتوفى أثناء التحنيط. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-054","egypt","جناح مصر القديمة","تمثال أوشابتي","فيانس أزرق","تمثال جنائزي صغير يخدم المتوفى بالآخرة. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
"egypt-055","egypt","جناح مصر القديمة","تعويذة الجعران المقدس","فيانس","رمز التجدد والبعث يوضع على المومياء. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-056","egypt","جناح مصر القديمة","عقد صدري ملكي","صدرية الأميرة سات حتحور يونيت تعد واحدة من أروع روائع الفن المصري القديم في عصر الدولة الوسطى وقد عثر عليها الأثري فلندرز بتري عام ألف وتسعمائة وأربعة عشر داخل صندوق خشبي مخفي في مقبرتها بمنطقة اللاهون وتتميز القطعة بدقة صنعها من الذهب الخالص وتطعيمها بمئات القطع الصغيرة من الأحجار شبه الكريمة كاللازورد والفيروز والعقيق الأحمر لتشكل لوحة هيروغليفية متكاملة تدعو للملك سنوسرت الثاني بطول العمر والخلود وتحمي اسمه بين صقور حورس وإله الأبدية حح وهي تعرض حاليا في متحف المتروبوليتان للفنون بنيويورك كشاهد على عبقرية الصائغ المصري القديم",
"egypt-057","egypt","جناح مصر القديمة","لفافة من كتاب الموتى","تظهر البردية الطقس الجنائزي الأهم حيث يقوم الإله أنوبيس ذو رأس ابن آوى بوزن قلب المتوفى آني في كفة الميزان مقابل ريشة ماعت التي ترمز للعدالة والحق. ويقف الإله تحوت ذو رأس طائر الإبيس على اليمين ليسجل النتيجة ببراعة بينما ينتظر الكائن الخرافي عميمت وهو هجين من التمساح والأسد وفرس النهر لالتهام قلب من يفشل في الاختبار. وفي الأعلى يجلس قضاة العالم الآخر كشهود على المحاكمة بينما يقف المتوفى وزوجته في الجانب الأيسر في تضرع بانتظار نيل الخلود ودخول حقول الإيارو النعيم.",
"egypt-058","egypt","جناح مصر القديمة","لوحة جنائزية منقوشة","حجر جيري","هذه القطعة المعروضة هي لوحة جنائزية ملونة من الحجر الجيري تسمى لوحة كي جيا وترجع إلى عصر الدولة الحديثة وتحديداً الأسرة الثامنة عشرة وتتميز باحتفاظها بألوانها الأصلية الرائعة الزاهية ويعلو اللوحة رمز قرص الشمس المجنح وتحته عيني حورس الأوجات اللتين توفران الحماية وبينهما شعلة أو إناء تضحية ويجلس على اليسار شخص يدعى كي جيا رفقة زوجته على مقعد ذي أرجل أسد ويقوم رجل يقف أمامهما بتقديم القرابين والبخور والزهور لهما تكريماً لهما بينما تقف خلفه سيدة وطفل صغير يشاركان في الطقوس العائلية ويحتوي الجزء السفلي على عدة أسطر من الكتابة الهيروغليفية النقشية التي تحمل صيغة تقديم القرابين التقليدية والصلوات لآلهة العالم الآخر لضمان توفير الطعام والشراب للمتوفى في الحياة الأبدية وهي معروضة ومحفوظة حالياً ضمن مجموعات المتحف المصري بالتحرير بالقاهرة."
"egypt-059","egypt","جناح مصر القديمة","إناء فخاري من الفيوم","فخار","هذه الجرة الفخارية النادرة تعد واحدة من أجمل روائع الخزف الملون في عصر الدولة الحديثة وتحديداً من أواخر الأسرة الثامنة عشرة حيث تعكس تأثر الفن المصري بالحياة العسكرية الجديدة بعد إدخال الخيول والعربات الحربية وتبرز القطعة رسماً متقناً لحصان يركض برشاقة بحجم محدد باللونين الأسود والأحمر مع بقع داكنة مميزة وبجانبه ذراعان تخرجان من علامة العنخ التي ترمز للحياة وهي تمسك بصولجان الواس الذي يعبر عن القوة والسيادة في دلالة سحرية واضحة لجلب البركة والنصر للملك ومملكته ويزين عنق الإناء زخارف هندسية دقيقة من خطوط ومثلثات متكررة تعكس براعة الصانع في تناسق الألوان وهي محفوظة ومعروضة حالياً خلف واجهات العرض في متحف برلين الجديد بألمانيا لتظل شاهداً حياً على تطور الرسم والفخار الفرعوني."
"egypt-060","egypt","جناح مصر القديمة","صندوق مجوهرات ملكي","خشب مطعم بالعاج","هذا الصندوق يمثل صندوقاً معدنياً تذكارياً حديث الصنع تم تصميمه كمحاكاة تجارية مقلدة ومستوحاة بالكامل من الصندوق الخشبي الشهير للملك توت عنخ آمون المحفوظ في المتحف ويتميز هذا المنتج المعاصر بلونه الذهبي البرونزي وتطعيمه بفصوص زرقاء صغيرة تحاكي الأحجار الكريمة مع نقوش بارزة على واجهته الأمامية تظهر الملك الشاب جالساً يطلق السهام بقوسه للصيد في أحراش البردي بينما تجلس زوجته الملكة عنخ إس إن آمون أمامه وتظهر على جانبه الأيسر عين حورس المجنحة لرمزية الحماية والشفاء والغطاء العلوي يأخذ شكلاً مقوساً عليه لقطات ملكية تقليدية مما يجعله تحفة ديكور مميزة وعلبة لحفظ الحلي والمجوهرات لعشاق الحضارة المصرية القديمة."
"egypt-061","egypt","جناح مصر القديمة","مرآة برونزية قديمة","برونز مصقول","هذه المرآة الأثرية النادرة مصنوعة من البرونز وترجع إلى عصر الدولة الحديثة في مصر القديمة وتتميز بتصميمها الفريد الذي يعكس الفن والعقيدة الفرعونية حيث يتخذ قرص المرآة العاكس شكلاً بيضاوياً مسطحاً مصقولاً بعناية ليعكس الضوء ويرمز لقرص الشمس المشرق بينما صُنع المقبض ببراعة على شكل رأس الإلهة حتحور إلهة الحب والجمال والموسيقى والبهجة وتظهر ملامح وجهها بوضوح مع آذان البقرة المميزة وشعرها المستعار الكثيف الذي ينتهي بشكل حلزوني يعلوه جزء هلالي عريض يربط بين المقبض والقرص العاكس لحمايته وتثبيته وكانت هذه المرايا تستخدم للزينة اليومية ومستحضرات التجميل من قبل السيدات والنبلاء كما كانت تحمل دلالات دينية وسحرية لبعث الحياة وتجدد الشباب وهي محفوظة حالياً خلف واجهات العرض في متحف المتروبوليتان للفنون بنيويورك لتظل شاهداً حياً على رفاهية المرأة المصرية القديمة."
"egypt-062","egypt","جناح مصر القديمة","لعبة السنت الملكية","خشب وعاج","أشهر لعبة لوحية في مصر القديمة. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-063","egypt","جناح مصر القديمة","آلة السيستروم الموسيقية","برونز","أداة إيقاعية تستخدم في الطقوس الدينية. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-064","egypt","جناح مصر القديمة","وعاء الكحل","ألباستر","لحفظ مسحوق الكحل المستخدم للعينين. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-065","egypt","جناح مصر القديمة","تمثال الكاتب القرفصاء","حجر جيري ملون","يجسد كاتباً يمسك لفافة بردي. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-066","egypt","جناح مصر القديمة","تمثال رحوتب ونفرت","حجر جيري ملون","تمثال ثنائي محفوظ الألوان بدقة مذهلة. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
"egypt-067","egypt","جناح مصر القديمة","عربة حربية ملكية","خشب مطلي بالذهب","من مقتنيات مقبرة توت عنخ آمون. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-068","egypt","جناح مصر القديمة","نموذج مركب جنائزي","خشب","يرمز لرحلة المتوفى في العالم الآخر. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-069","egypt","جناح مصر القديمة","تعويذة عين وجات","فيانس أزرق","رمز الحماية والشفاء المرتبط بحورس. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-070","egypt","جناح مصر القديمة","خاتم ملكي بخاتم آمون","ذهب","يحمل خرطوش اسم الملك. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-071","egypt","جناح مصر القديمة","وعاء تخزين الحبوب","فخار كبير","استخدم لتخزين القمح في المخازن الملكية. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-072","egypt","جناح مصر القديمة","منحوتة جدارية من مقبرة ملكية","حجر جيري مرسوم","تصور مشاهد الحياة اليومية والدينية. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
"egypt-073","egypt","جناح مصر القديمة","تمثال نفرتيتي النصفي","حجر جيري وجص","أيقونة عالمية للجمال الفرعوني. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-074","egypt","جناح مصر القديمة","قلادة الصقور الذهبية","ذهب","حلية جنائزية بشكل أجنحة الحماية. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-075","egypt","جناح مصر القديمة","أدوات التحنيط الكهنوتية","حجر وخشب","استخدمت في تحضير الجثث للتحنيط. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-076","egypt","جناح مصر القديمة","مبخرة طقسية مصرية","برونز","استخدمت في الشعائر الدينية بالمعابد. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-077","egypt","جناح مصر القديمة","نموذج بيت روح مصغر","فخار","يمثل منزل المتوفى في العالم الآخر. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-078","egypt","جناح مصر القديمة","تميمة قلب الجعران","حجر أخضر","توضع مكان القلب أثناء التحنيط. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
"egypt-079","egypt","جناح مصر القديمة","مزهرية ألباستر ملكية","ألباستر","إناء فاخر من مقتنيات القصور الملكية. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-080","egypt","جناح مصر القديمة","لوحة الحدود الملكية بتل العمارنة","حجر جيري","تحدد حدود مدينة أخيتاتون الجديدة. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-081","egypt","جناح مصر القديمة","بردية طبية مصرية","بردي","توثق وصفات علاجية من الطب المصري القديم. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-082","egypt","جناح مصر القديمة","مقياس النيل بالروضة","جزيرة الروضة","أداة قديمة لقياس منسوب فيضان النيل سنويًا، واستُخدمت لتقدير الضرائب الزراعية بناءً على مستوى الفيضان."
"egypt-083","egypt","جناح مصر القديمة","عرش توت عنخ آمون الذهبي","وادي الملوك","عرش خشبي مطعّم بالذهب والأحجار الكريمة، يصوّر مشهدًا أسريًا حميمًا للملك الشاب وزوجته."
"egypt-084","egypt","جناح مصر القديمة","لوحة الإله تحوت الكاتب","من مقتنيات المعابد","تصوّر تحوت إله الحكمة والكتابة وهو يدوّن أعمال البشر، وارتبط اسمه باختراع الكتابة الهيروغليفية."
"egypt-085","egypt","جناح مصر القديمة","مقتنيات مقبرة كا-حف","الجيزة","أدوات وتماثيل جنائزية عُثر عليها في مقبرة أحد كبار موظفي الدولة القديمة."
"egypt-086","egypt","جناح مصر القديمة","جرن حجري من معبد الكرنك","الكرنك","وعاء حجري ضخم استُخدم في الطقوس الدينية اليومية داخل معبد آمون رع."
"egypt-087","egypt","جناح مصر القديمة","تمثال أبو الهول الصغير","منف","نسخة مصغّرة من تمثال أبو الهول الكبير، عُثر عليها بين أطلال عاصمة الدولة القديمة منف."
"egypt-088","egypt","جناح مصر القديمة","عمود على هيئة زهرة اللوتس","معبد الأقصر","عمود حجري منحوت على هيئة زهرة اللوتس المتفتحة، رمز الشمس وولادة الحياة عند المصريين القدماء."
"egypt-089","egypt","جناح مصر القديمة","تمثال الملك زوسر الجالس","سقارة","من أقدم التماثيل الملكية المصرية بالحجم الطبيعي تقريبًا، ويمثل صاحب أول هرم مدرج في التاريخ."
"egypt-090","egypt","جناح مصر القديمة","لوحة نعرمر الاحتفالية","هيراكونبوليس","لوحة صلاية حجرية تصور الملك نعرمر وهو يوحّد مصر العليا والسفلى برموز فنية مبكرة."
"egypt-091","egypt","جناح مصر القديمة","طبق قرابين من الحجر الجيري","من مقتنيات المعابد","طبق حجري كان يوضع عليه القرابين الغذائية للآلهة أو للمتوفى في الطقوس الجنائزية."
"egypt-092","egypt","جناح مصر القديمة","تمثال القزم سنب وأسرته","الجيزة","تمثال عائلي مؤثر لأحد كبار موظفي البلاط كان قزمًا، يظهر مع زوجته وابنيه في تكوين فني رقيق."
"egypt-093","egypt","جناح مصر القديمة","بردية تورين الطبوغرافية","من مقتنيات المتحف المصري","أقدم خريطة جيولوجية معروفة في التاريخ، ترسم طريق مناجم الذهب في الصحراء الشرقية."
"egypt-094","egypt","جناح مصر القديمة","تمثال الإلهة تفنوت","برونز","إلهة الرطوبة والمطر في الميثولوجيا المصرية، وشقيقة وزوجة الإله شو رمز الهواء."
"egypt-095","egypt","جناح مصر القديمة","قلادة صدرية من الفيروز واللازورد","من مقتنيات المقابر الملكية","حلية جنائزية فاخرة صيغت من أحجار كريمة مستوردة، تعكس ثراء التجارة المصرية القديمة."
"egypt-096","egypt","جناح مصر القديمة","أدوات الكاتب: القلم والمحبرة","من أدوات المعابد والدواوين","مجموعة أدوات كتابة استخدمها الكتبة المصريون لتدوين النصوص الإدارية والدينية على البردي."
"egypt-097","egypt","جناح مصر القديمة","نموذج مصغر لمقبرة نبيل من طيبة","طيبة","نموذج خشبي مصغر يعيد تصور تصميم مقبرة أحد نبلاء الدولة الحديثة بتفاصيلها المعمارية."
"egypt-098","egypt","جناح مصر القديمة","تمثال الإله حابي رمز فيضان النيل","من مقتنيات المعابد","يجسّد حابي فيضان النيل السنوي الذي كان مصدر خصوبة الأرض المصرية وازدهار الزراعة."
"egypt-099","egypt","جناح مصر القديمة","صينية تقديم من الفخار المزجج","من الأسرة الثامنة عشرة","إناء تقديم فاخر يعكس تطور صناعة الخزف المزجج في عصر الدولة الحديثة."
"egypt-100","egypt","جناح مصر القديمة","تعويذة إيزيس الحامية","ذهب وأحجار كريمة","تميمة صغيرة كانت تُوضع على المومياء لحماية المتوفى في رحلته إلى العالم الآخر."
"leaders-001","leaders","جناح ملوك وملكات مصر القديمة","نارمر","نحو 3100 ق.م","الملك الذي يُنسب إليه توحيد مصر العليا والسفلى. يُستدل على تفاصيل حكمه من النقوش الملكية وقوائم الملوك التاريخية."
"leaders-002","leaders","جناح ملوك وملكات مصر القديمة","حور عحا","الأسرة الأولى","من أوائل ملوك مصر الموحدة. وثّقت الآثار والنقوش الجدارية أبرز محطات عهده وإنجازاته."
"leaders-003","leaders","جناح ملوك وملكات مصر القديمة","دن","الأسرة الأولى","أول من استخدم لقب ملك مصر العليا والسفلى بشكل كامل. تروي المعابد والمقابر التي شُيدت في عصره الكثير عن سياسته وإنجازاته."
"leaders-004","leaders","جناح ملوك وملكات مصر القديمة","خع سخموي","الأسرة الثانية","آخر ملوك الأسرة الثانية، مهّد لعصر الأهرام. اعتمد المؤرخون في تتبع سيرته على البرديات والنقوش المعاصرة لعصره."
"leaders-005","leaders","جناح ملوك وملكات مصر القديمة","زوسر","الأسرة الثالثة","صاحب أول هرم مدرج حجري في التاريخ. خلّدت التماثيل والنصوص الملكية اسمه ضمن سجل ملوك مصر القديمة."
"leaders-006","leaders","جناح ملوك وملكات مصر القديمة","سنفرو","الأسرة الرابعة","بنى الهرم المنحني والهرم الأحمر بدهشور. يُستدل على تفاصيل حكمه من النقوش الملكية وقوائم الملوك التاريخية."
"leaders-007","leaders","جناح ملوك وملكات مصر القديمة","خوفو","الأسرة الرابعة","صاحب الهرم الأكبر بالجيزة. وثّقت الآثار والنقوش الجدارية أبرز محطات عهده وإنجازاته."
"leaders-008","leaders","جناح ملوك وملكات مصر القديمة","خفرع","الأسرة الرابعة","بنى الهرم الثاني وتمثال أبو الهول. تروي المعابد والمقابر التي شُيدت في عصره الكثير عن سياسته وإنجازاته."
"leaders-009","leaders","جناح ملوك وملكات مصر القديمة","جدفرع","الأسرة الرابعة","بنى هرمه بأبو رواش. اعتمد المؤرخون في تتبع سيرته على البرديات والنقوش المعاصرة لعصره."
"leaders-010","leaders","جناح ملوك وملكات مصر القديمة","منقرع","الأسرة الرابعة","صاحب أصغر أهرامات الجيزة الثلاثة. خلّدت التماثيل والنصوص الملكية اسمه ضمن سجل ملوك مصر القديمة."
